Unnamed: 0,RR9_TMS_FLT_F1,RR9_TMS_FLT_F6,RR9_TMS_FLT_F7,RR9_TMS_FLT_F3,RR9_TMS_FLT_F5,RR9_TMS_FLT_F2,RR9_TMS_FLT_F8,RR9_TMS_FLT_F4,RR9_TMS_FLT_F10,RR9_TMS_FLT_F9,RR9_TMS_GC_G4,RR9_TMS_GC_G10,RR9_TMS_GC_G1,RR9_TMS_GC_G7,RR9_TMS_GC_G6,RR9_TMS_GC_G9,RR9_TMS_GC_G8,RR9_TMS_GC_G3,RR9_TMS_GC_G2,RR9_TMS_GC_G5
Smn1,80.6926191435222,36.0454834517665,86.6303362351653,110.768005246,48.9166999731757,157.277356340808,47.2912376433379,55.373142014309,79.3738373097964,48.9150452967739,78.3361083401608,77.8434824376689,108.278016109557,52.1924277444912,113.055745071048,39.0344869128829,140.578236064743,84.9994044883717,93.7439600646909,120.953666089996
Btf3,910.814193552,1335.24352560554,1178.339157813,1262.18383292554,1238.17941060586,1054.40360837339,1229.37836012907,1170.82896351061,956.12913539159,1462.41978300384,1349.36778095644,1804.6452901631,1692.68656113334,1583.96920617839,962.438259673871,1300.22704211456,1602.53994391943,1892.37406617355,1620.24854650469,2013.11579475293
Polk,240.601010733161,152.497199374339,69.9851270337741,49.7087285177602,142.669607242656,147.02860348309,89.4142324871507,108.302207664883,84.2988813943193,63.6474376708714,97.6721886280554,73.077242400838,92.0872329162859,15.5654523136311,76.0929692447196,61.8550393523443,45.020959547,53.9756646239769,44.8695500521669,50.8678134928528
Cert1,607.721314783212,375.291986410754,395.659082935069,215.193246356901,469.481441932214,316.694917275736,575.202334496044,260.832209130242,371.360886459195,346.648999821676,160.412136370068,295.638021959002,510.342897995788,336.619829602926,311.11370846868,309.856687154626,235.806944639219,212.713051995716,191.014188648509,225.103199483516
Depdc1b,0.0,0.0,0.0,1.43935991779863,1.60191718626669,0.0,0.0,5.77375815979745,0.0,0.0,7.99965118315122,11.2566153927389,23.1898267448552,16.2986461728732,8.14082533868115,12.2196686871479,2.02986761220799,11.8717810504861,9.819752405592,9.39364471562661
Zfyve16,149.656336242052,84.4769664559781,118.284194185808,152.722110522716,146.408828309156,307.025174621572,298.834407194534,175.461515550628,60.3705623309258,126.174111170264,107.800767197728,167.448563696583,88.1251236682421,76.0747209147528,119.767837229014,94.5536790271888,42.6721547284235,59.3808215297367,53.2261510376563,74.063455250193
Dhfr,74.4958503956489,64.4174641992177,12.8623284001227,13.9100774796671,25.8035051305323,65.3240483814194,15.4219689532071,85.7300221912343,37.2727766983151,72.7138542412067,78.5960068108082,143.788203767124,162.682692435888,62.1305155994249,94.5426414867046,60.6659923147629,165.811744630365,100.388095764661,112.081060048583,119.646003117729
Erbin,1155.74957876991,906.433769644151,969.976565274925,920.557126482433,1052.3237901363,1204.45716523504,826.479819156228,959.457165449216,992.697648388774,862.670194585427,595.595818865464,854.729179570924,774.587529620184,587.350274728397,768.653229868555,531.215330889856,856.779793782587,639.33579953042,443.772239728501,491.54681301618
Trim23,146.993720514461,170.228565704984,70.836512759025,47.6836255443221,98.8508432239238,128.395947513644,146.423103105888,107.649038588136,98.0273905098189,78.2372264835332,46.3588513375996,114.628541240316,73.1336807571868,83.3779568935904,86.007081720102,114.991132592173,67.9517651900083,61.3750571703067,39.0042366735357,52.6311047636241
Cenpk,38.3324072101921,43.3903432932226,47.5659967687747,11.0170245031477,0.0,16.2542286313726,2.47616443988622,7.6033662284038,5.73489787624083,26.3638563426142,109.952713933271,58.3920156354818,176.683602461611,143.936679527855,135.487864482626,181.284403546137,134.168842929034,105.921910820818,93.9057784251461,110.334868848482
Emb,771.343439150154,658.44244041962,604.514471008444,418.575921468657,976.069670220429,886.408257710372,578.718429244897,631.254598070271,416.641335089357,630.549070593222,384.341979827899,500.627635472514,457.097188565359,354.068198692812,533.231046311814,572.937311376835,438.530154887214,542.464845748138,335.481565014742,400.942487376718
